"variable","lower","upper","distribution","unit","name","description","ui_type","ui_steps","Expertise","Crop_rotation","...12"
"n_years_c",80,80,"const","N years","Timescope [years]","Timescope of interest","numeric",1,"Decision maker",NA,NA
"discount_rate_p",2,19,"posnorm","%","Discount rate [%]","Annual rate of the utility loss of cash liquidity","slider2",1,"Decision maker",NA,NA
"treeless_system_crop_rotation_1_c",1,1,"const","unitless","Crop rotation alternative","Which crop rotation shall be used (currently only one crop rotation implemented)","numeric",1,"Data analyst",NA,NA
"AF1_system_crop_rotation_1_c",1,1,"const","unitless","Agroforestry alternative","Which tree stand shall be used (currently only one crop rotation implemented)","numeric",1,"Data analyst",NA,NA
"num_simulations_c",1000,1000,"const","N","Model iterations","Number of model simulation runs","numeric",1,"Data analyst",NA,NA
"var_CV_p",5,46,"posnorm","%","General coefficient of variation [%]","Coefficient of variation of the variables of the model","slider2",1,"Data analyst",NA,NA
"field_area_c",1.4,1.4,"const","ha","Intervention's surface area [ha]","Size of the area over which the intervention takes place","numeric",0.01,"Decision maker",NA,NA
"AF1_tree_row_area_c",0.114,0.114,"const","ha","Tree row area [ha]","Total area occupied by the tree rows","numeric",1e-04,"Decision maker",NA,NA
"AF1_num_trees_c",47,47,"const","N trees","Total number of trees in the tree rows [U]","Number of trees in the tree rows (sum of all strips)","numeric",1,"Decision maker",NA,NA
"AF1_hedgerow_area_c",0.04,0.04,"const","ha","Boundary elements area [ha]","Total area occupied by field boundary elements","numeric",0.001,"Decision maker",NA,NA
"walnut_tree_price_p",30,50,"posnorm","€/N trees","Tree plant material costs (tree rows) [€/U]","Costs of tree seeds, seedlings or saplings","slider2",1,"Agroforestry farming;Silviculture",NA,NA
"hedgerow_stems_price_p",200,350,"posnorm","€","Tree/Shrub plant material costs (hedgerows) [€]","Cost of hedgrow tree seeds, seedlings or saplings","slider2",1,"Agroforestry farming;Silviculture",NA,NA
"tree_planting_associated_material_p",1000,1400,"posnorm","€","Other (non-plant) planting material costs [€]","Costs of other planting (e.g. tools, compost...) and tree protection materials","slider2",1,"Agroforestry farming;Silviculture",NA,NA
"labour_costs_p",16,30,"posnorm","€/h","Labor costs per working hour [€/h]","Labor costs per working hour","slider2",1,"Treeless farming",NA,NA
"leek_labour_p",2,66,"posnorm","h/ha/year","Worker-hours - Leek [h/ha/year]","Worker-hours required for leek production in a treeless field","slider2",1,"Treeless farming",NA,NA
"maize_labour_p",3,31,"posnorm","h/ha/year","Worker-hours - Maize [h/ha/year]","Worker-hours required for maize production in a treeless field","slider2",1,"Treeless farming",NA,NA
"carrot_labour_p",31,39,"posnorm","h/ha/year","Worker-hours - Carrot [h/ha/year]","Worker-hours required for carrot production in a treeless field","slider2",1,"Treeless farming",NA,NA
"celeriac_labour_p",2,66,"posnorm","h/ha/year","Worker-hours - Celeriac [h/ha/year]","Worker-hours required for celeriac production in a treeless field","slider2",1,"Treeless farming",NA,NA
"potato_labour_p",54,66,"posnorm","h/ha/year","Worker-hours - Potatoes [h/ha/year]","Worker-hours required for potato production in a treeless field","slider2",1,"Treeless farming",NA,NA
"wheat_labour_p",3,7,"posnorm","h/ha/year","Worker-hours - Wheat [h/ha/year]","Worker-hours required for wheat production in a treeless field","slider2",1,"Treeless farming",NA,NA
"beans_labour_p",14,18,"posnorm","h/ha/year","Worker-hours - Beans [h/ha/year]","Worker-hours required for field beans production in a treeless field","slider2",1,"Treeless farming",NA,NA
"af1_added_management_time_factor_p",1.05,1.2,"posnorm","ratio","Working-time arable crops in agroforestry vs. treeless field [ratio]","Relative working-time difference, on an ""equivalent cultivated area"" basis, between managing arable crops in agroforestry and treeless fields. Values higher than 1 mean more time required in an agroforestry field, and values lower than 1 mean less time required in an agroforestry field.","slider2",0.001,"Agroforestry farming",NA,NA
"farmer_planning_time_p",10,250,"posnorm","h","Worker-hours - Planning and design [h]","Time spent on planning and designing the agroforestry system","slider2",1,"Agroforestry farming;Policy analysis",NA,NA
"subsidy_application_p",1,20,"posnorm","h/year","Worker-hours - Bureaucratic requirements [h/year]","Time spent on fullfilling agroforestry-specific bureaucratic processes","slider2",1,"Agroforestry farming;Policy analysis",NA,NA
"woody_strip_field_prep_p",0.29,0.76,"posnorm","h/ha","Worker-hours - Field preparation [h/ha]","Worker-hours required to prepare the field for the establishment of the woody strips (e.g. harrowing previous to tree planting)","slider2",1,"Agroforestry farming",NA,NA
"tree_planting_p",0.5,1.1,"posnorm","h/N trees","Worker-hours - Tree planting (tree rows) [h/unit]","Worker-hours required to plant the trees","slider2",0.01,"Agroforestry farming",NA,NA
"hedgerow_planting_time_p",8,24,"posnorm","h","Worker-hours boundary elements establishment [h]","Worker-hours spent on establishing boundary elements (hedgerows, grass strips, etc.)","slider2",1,"Agroforestry farming",NA,NA
"weed_protection_p",15,25,"posnorm","h/ha","Worker-hours weed removal before tree planting [h/ha]","Worker-hours spent on weed-control interventions during the establishment of the woody stands","slider2",1,"Agroforestry farming",NA,NA
"woody_strip_undergrowth_maintenance_time_p",0.75,1.51,"posnorm","h/ha/year","Worker-hours tree row understory maintenance  [h/ha/year]","Worker-hours required for the maintenance of the woody strips' understory","slider2",0.001,"Agroforestry farming",NA,NA
"pruning_time_earlier_p",0.05,0.15,"posnorm","h/N trees","Worker-hours small tree pruning [h/unit]","Worker-hours required for pruning trees aged up to 7 years","slider2",0.001,"Agroforestry farming",NA,NA
"pruning_time_later_p",0.15,0.25,"posnorm","h/N trees","Worker-hours large tree pruning [h/unit]","Worker-hours required for pruning trees aged 8 years or more","slider2",0.001,"Agroforestry farming",NA,NA
"tim_harv_time_p",0.05,0.11,"posnorm","h/m3","Worker-hours tree felling [h/m3]","Worker-hours required during the final timber harvest to log one tree, as a function of its size","slider2",0.001,"Agroforestry farming;Silviculture",NA,NA
"stump_removal_time_p",0.025,0.042,"posnorm","h/N trees","Worker-hours stump grubbing [h/unit]","Worker-hours required to grub stumps out of the soil after the final timber harvest","slider2",1e-04,"Agroforestry farming;Silviculture",NA,NA
"stump_chopping_time_p",1,2,"posnorm","h/ha","Worker-hours stump chopping [h/ha]","Worker-hours required to chop the stump biomass remaining on the field after the final timber harvest","slider2",0.01,"Agroforestry farming;Silviculture",NA,NA
"walnut_harv_costs_p",60,400,"posnorm","€/ha","Fruit/nuts harvest costs [€/ha]","Costs of harvesting fruits/nuts","slider2",1,"Agroforestry farming;Fruit/Nuts production",NA,NA
"walnut_postharv_costs_p",90,600,"posnorm","€/ha","Fruit/nuts grading and packing costs [€/ha]","Costs of grading and packing fruits/nuts","slider2",1,"Agroforestry farming;Fruit/Nuts production",NA,NA
"labor_time_threshold_p",3,120,"posnorm","h","Voluntary extra time threshold [h]","Voluntary extra time threshold: aximum additional worker-hours per year, that the farmer(s) will dedicate to the agroforestry intervention without fully considering it a cost","slider2",1,"Decision maker",NA,NA
"sense_of_purpose_t",0.05,0.95,"tnorm_0_1","ratio","Sense of purpose [ratio]","Proportion of te ""Voluntary extra time threshold"" that the farmer(s) will dedicate to the agroforestry intervention without fully considering it a cost","slider2",0.001,"Decision maker",NA,NA
"maize_management_p",400,1250,"posnorm","€/ha","Maize production costs","Mean annual fixed+variable costs of seed, fertiliser, pesticide, insurance and machinery for the production of maize [€/ha]","slider2",1,"Treeless farming","maize",NA
"maize_yield_p",8,22,"posnorm","ton/ha","Maize yield","Marketable maize yield [t/ha]","slider2",1,"Treeless farming","maize",NA
